VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, a3d4e92d9f2c12911b7e1156fcef4789af31ee15,./spring-boot-master/spring-boot-cli/, AetherGrapeEngineTests,dependencyResolutionWithExclusions,test fail, sab 11 apr 2020, 12.36.59, CEST,sab 11 apr 2020, 12.37.03, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, a3d4e92d9f2c12911b7e1156fcef4789af31ee15,./spring-boot-master/spring-boot-cli/, AetherGrapeEngineTests,dependencyResolutionWithExclusions,test fail, sab 11 apr 2020, 12.37.03, CEST,sab 11 apr 2020, 12.37.06, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, a3d4e92d9f2c12911b7e1156fcef4789af31ee15,./spring-boot-master/spring-boot-cli/, AetherGrapeEngineTests,dependencyResolutionWithExclusions,test fail, sab 11 apr 2020, 12.37.06, CEST,sab 11 apr 2020, 12.37.10, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, a3d4e92d9f2c12911b7e1156fcef4789af31ee15,./spring-boot-master/spring-boot-cli/, AetherGrapeEngineTests,dependencyResolutionWithExclusions,test fail, sab 11 apr 2020, 12.37.10, CEST,sab 11 apr 2020, 12.37.13, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, a3d4e92d9f2c12911b7e1156fcef4789af31ee15,./spring-boot-master/spring-boot-cli/, AetherGrapeEngineTests,dependencyResolutionWithExclusions,test fail, sab 11 apr 2020, 12.37.13, CEST,sab 11 apr 2020, 12.37.17, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, a3d4e92d9f2c12911b7e1156fcef4789af31ee15,./spring-boot-master/spring-boot-cli/, AetherGrapeEngineTests,dependencyResolutionWithExclusions,test fail, sab 11 apr 2020, 12.37.17, CEST,sab 11 apr 2020, 12.37.21, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, a3d4e92d9f2c12911b7e1156fcef4789af31ee15,./spring-boot-master/spring-boot-cli/, AetherGrapeEngineTests,dependencyResolutionWithExclusions,test fail, sab 11 apr 2020, 12.37.21, CEST,sab 11 apr 2020, 12.37.24, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, a3d4e92d9f2c12911b7e1156fcef4789af31ee15,./spring-boot-master/spring-boot-cli/, AetherGrapeEngineTests,dependencyResolutionWithExclusions,test fail, sab 11 apr 2020, 12.37.24, CEST,sab 11 apr 2020, 12.37.28, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, a3d4e92d9f2c12911b7e1156fcef4789af31ee15,./spring-boot-master/spring-boot-cli/, AetherGrapeEngineTests,dependencyResolutionWithExclusions,test fail, sab 11 apr 2020, 12.37.28, CEST,sab 11 apr 2020, 12.37.31, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, a3d4e92d9f2c12911b7e1156fcef4789af31ee15,./spring-boot-master/spring-boot-cli/, AetherGrapeEngineTests,dependencyResolutionWithExclusions,test fail, sab 11 apr 2020, 12.37.31, CEST,sab 11 apr 2020, 12.37.35, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, a3d4e92d9f2c12911b7e1156fcef4789af31ee15,./spring-boot-master/spring-boot-cli/, AetherGrapeEngineTests,dependencyResolutionWithExclusions,test fail, sab 11 apr 2020, 12.37.35, CEST,sab 11 apr 2020, 12.37.38, CEST
