ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.06.33, CET,lun 9 mar 2020, 12.06.34, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.06.34, CET,lun 9 mar 2020, 12.06.36, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.06.36, CET,lun 9 mar 2020, 12.06.38, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.06.38, CET,lun 9 mar 2020, 12.06.40, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.06.40, CET,lun 9 mar 2020, 12.06.42, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.06.42, CET,lun 9 mar 2020, 12.06.43, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.06.43, CET,lun 9 mar 2020, 12.06.45, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.06.45, CET,lun 9 mar 2020, 12.06.48, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.06.48, CET,lun 9 mar 2020, 12.06.50, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.06.50, CET,lun 9 mar 2020, 12.06.52, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.06.52, CET,lun 9 mar 2020, 12.06.54, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.06.54, CET,lun 9 mar 2020, 12.06.56, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.06.56, CET,lun 9 mar 2020, 12.06.58, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.06.58, CET,lun 9 mar 2020, 12.07.00, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.00, CET,lun 9 mar 2020, 12.07.02, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.02, CET,lun 9 mar 2020, 12.07.04, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.04, CET,lun 9 mar 2020, 12.07.05, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.05, CET,lun 9 mar 2020, 12.07.07, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.07, CET,lun 9 mar 2020, 12.07.09, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.09, CET,lun 9 mar 2020, 12.07.11, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.11, CET,lun 9 mar 2020, 12.07.14, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.14, CET,lun 9 mar 2020, 12.07.15, CET
ninja,https://github.com/ninjaframework/ninja.git, ddb4eda27cd22910d26a45d8737d4442659bdf60,./ninja-servlet-jpa-blog-archetype/src/main/resources/archetype-resources/, ApplicationControllerTest,testThatHomepageWorks,test fail, lun 9 mar 2020, 12.07.15, CET,lun 9 mar 2020, 12.07.17, CET
