hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.08.54, CET,ven 13 mar 2020, 01.08.58, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.08.58, CET,ven 13 mar 2020, 01.09.02, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.09.02, CET,ven 13 mar 2020, 01.09.06, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.09.06, CET,ven 13 mar 2020, 01.09.09, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.09.09, CET,ven 13 mar 2020, 01.09.13, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.09.13, CET,ven 13 mar 2020, 01.09.16, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.09.16, CET,ven 13 mar 2020, 01.09.20, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.09.20, CET,ven 13 mar 2020, 01.09.23, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.09.23, CET,ven 13 mar 2020, 01.09.27, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.09.27, CET,ven 13 mar 2020, 01.09.31, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.09.31, CET,ven 13 mar 2020, 01.09.34, CET
hector,https://github.com/hector-client/hector.git, abb6a32e289c369d6cd36ba4b8cf505ee339b2e4,./core/, CassandraClusterTest,testDescribeKeyspaces,test pass, ven 13 mar 2020, 01.09.34, CET,ven 13 mar 2020, 01.09.38, CET
