oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithBundleId,test fail, mer 15 apr 2020, 00.30.07, CEST,mer 15 apr 2020, 00.30.12, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithBundleId,test fail, mer 15 apr 2020, 00.30.12, CEST,mer 15 apr 2020, 00.30.18, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithBundleId,test fail, mer 15 apr 2020, 00.30.18, CEST,mer 15 apr 2020, 00.30.23, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithBundleId,test fail, mer 15 apr 2020, 00.30.23, CEST,mer 15 apr 2020, 00.30.28, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithBundleId,test fail, mer 15 apr 2020, 00.30.28, CEST,mer 15 apr 2020, 00.30.34, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithBundleId,test fail, mer 15 apr 2020, 00.30.34, CEST,mer 15 apr 2020, 00.30.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithBundleId,test fail, mer 15 apr 2020, 00.30.39, CEST,mer 15 apr 2020, 00.30.44, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithBundleId,test fail, mer 15 apr 2020, 00.30.44, CEST,mer 15 apr 2020, 00.30.49, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithBundleId,test fail, mer 15 apr 2020, 00.30.49, CEST,mer 15 apr 2020, 00.30.55, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithBundleId,test fail, mer 15 apr 2020, 00.30.55, CEST,mer 15 apr 2020, 00.31.00, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithBundleId,test fail, mer 15 apr 2020, 00.31.00, CEST,mer 15 apr 2020, 00.31.05, CEST
