oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.15.22, CEST,mer 15 apr 2020, 19.15.29, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.15.29, CEST,mer 15 apr 2020, 19.15.36, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.15.36, CEST,mer 15 apr 2020, 19.15.43, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.15.43, CEST,mer 15 apr 2020, 19.15.51, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.15.51, CEST,mer 15 apr 2020, 19.15.57, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.15.58, CEST,mer 15 apr 2020, 19.16.04, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.16.04, CEST,mer 15 apr 2020, 19.16.11, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.16.11, CEST,mer 15 apr 2020, 19.16.18, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.16.18, CEST,mer 15 apr 2020, 19.16.25, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.16.25, CEST,mer 15 apr 2020, 19.16.32, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.16.32, CEST,mer 15 apr 2020, 19.16.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.16.39, CEST,mer 15 apr 2020, 19.16.45, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.16.45, CEST,mer 15 apr 2020, 19.16.52, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.16.52, CEST,mer 15 apr 2020, 19.16.59, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.16.59, CEST,mer 15 apr 2020, 19.17.06, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, mer 15 apr 2020, 19.17.06, CEST,mer 15 apr 2020, 19.17.13, CEST
