oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.24.25, CEST,gio 16 apr 2020, 01.24.31, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.24.31, CEST,gio 16 apr 2020, 01.24.36, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.24.36, CEST,gio 16 apr 2020, 01.24.42, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.24.42, CEST,gio 16 apr 2020, 01.24.47, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.24.47, CEST,gio 16 apr 2020, 01.24.53, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.24.53, CEST,gio 16 apr 2020, 01.25.01, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.25.01, CEST,gio 16 apr 2020, 01.25.06, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.25.06, CEST,gio 16 apr 2020, 01.25.12, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.25.12, CEST,gio 16 apr 2020, 01.25.17, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.25.17, CEST,gio 16 apr 2020, 01.25.23, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.25.23, CEST,gio 16 apr 2020, 01.25.28, CEST
