handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.10.49, CEST,sab 11 apr 2020, 07.11.08, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.11.08, CEST,sab 11 apr 2020, 07.11.20, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.11.20, CEST,sab 11 apr 2020, 07.11.33, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.11.33, CEST,sab 11 apr 2020, 07.11.45, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.11.45, CEST,sab 11 apr 2020, 07.11.58, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.11.58, CEST,sab 11 apr 2020, 07.12.10, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.12.10, CEST,sab 11 apr 2020, 07.12.22, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.12.22, CEST,sab 11 apr 2020, 07.12.34, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.12.34, CEST,sab 11 apr 2020, 07.12.47, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.12.47, CEST,sab 11 apr 2020, 07.13.00, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.13.00, CEST,sab 11 apr 2020, 07.13.12, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.13.12, CEST,sab 11 apr 2020, 07.13.24, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.13.24, CEST,sab 11 apr 2020, 07.13.37, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.13.37, CEST,sab 11 apr 2020, 07.13.49, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.13.49, CEST,sab 11 apr 2020, 07.14.01, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.14.01, CEST,sab 11 apr 2020, 07.14.14, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.14.14, CEST,sab 11 apr 2020, 07.14.26, CEST
handlebars.java,https://github.com/jknack/handlebars.java.git, 5d6cc0f8cfa0b9fe8d2c97987fe2d3e90ff8efbb,./handlebars/, ToJavaScriptTest,toSharedJavaScript,test pass, sab 11 apr 2020, 07.14.26, CEST,sab 11 apr 2020, 07.14.39, CEST
